area,true,predicted,proportion
V1,Cinematic,Cinematic,0.6875
V1,Cinematic,Sports1M,0.1484375
V1,Cinematic,Rendered,0.1640625
V1,Sports1M,Cinematic,0.1171875
V1,Sports1M,Sports1M,0.75
V1,Sports1M,Rendered,0.1328125
V1,Rendered,Cinematic,0.2265625
V1,Rendered,Sports1M,0.1484375
V1,Rendered,Rendered,0.625
LM,Cinematic,Cinematic,0.703125
LM,Cinematic,Sports1M,0.125
LM,Cinematic,Rendered,0.171875
LM,Sports1M,Cinematic,0.109375
LM,Sports1M,Sports1M,0.7578125
LM,Sports1M,Rendered,0.1328125
LM,Rendered,Cinematic,0.2265625
LM,Rendered,Sports1M,0.1484375
LM,Rendered,Rendered,0.625
AL,Cinematic,Cinematic,0.609375
AL,Cinematic,Sports1M,0.140625
AL,Cinematic,Rendered,0.25
AL,Sports1M,Cinematic,0.1171875
AL,Sports1M,Sports1M,0.7109375
AL,Sports1M,Rendered,0.171875
AL,Rendered,Cinematic,0.3125
AL,Rendered,Sports1M,0.140625
AL,Rendered,Rendered,0.546875
RL,Cinematic,Cinematic,0.640625
RL,Cinematic,Sports1M,0.1328125
RL,Cinematic,Rendered,0.2265625
RL,Sports1M,Cinematic,0.140625
RL,Sports1M,Sports1M,0.6953125
RL,Sports1M,Rendered,0.1640625
RL,Rendered,Cinematic,0.203125
RL,Rendered,Sports1M,0.1875
RL,Rendered,Rendered,0.609375
